episode_id,step,obs_0,obs_1,action_0,reward,done,next_obs_0,next_obs_1,return
0,1,-0.57740784,0.0,0.2715778,0.09486625433551232,0,-0.57659864,0.0008091842,130.52192354931375
0,2,-0.57659864,0.0008091842,0.27782118,0.09122929205971886,0,-0.5749769,0.0016217423,130.52192354931375
0,3,-0.5749769,0.0016217423,0.2842987,0.08798744864472496,0,-0.57254493,0.0024320025,130.52192354931375
0,4,-0.57254493,0.0024320025,0.29096767,0.08533319962009678,0,-0.5693107,0.0032342323,130.52192354931375
0,5,-0.5693107,0.0032342323,0.29778358,0.08344574110894065,0,-0.56528807,0.0040226737,130.52192354931375
0,6,-0.56528807,0.0040226737,0.30470017,0.0824856700484311,0,-0.5604965,0.004791579,130.52192354931375
0,7,-0.5604965,0.004791579,0.31166992,0.08258861152771324,0,-0.55496126,0.0055352524,130.52192354931375
0,8,-0.55496126,0.0055352524,0.3186442,0.08386019826772895,0,-0.54871315,0.0062480904,130.52192354931375
0,9,-0.54871315,0.0062480904,0.32557356,0.08637117047385878,0,-0.5417885,0.0069246306,130.52192354931375
0,10,-0.5417885,0.0069246306,0.33240837,0.09015272654251305,0,-0.5342289,0.0075595984,130.52192354931375
0,11,-0.5342289,0.0075595984,0.33909878,0.0951942035785045,0,-0.52608097,0.00814796,130.52192354931375
0,12,-0.52608097,0.00814796,0.34559563,0.10144088773743754,0,-0.517396,0.0086849695,130.52192354931375
0,13,-0.517396,0.0086849695,0.3518506,0.10879374066913883,0,-0.50822973,0.009166227,130.52192354931375
0,14,-0.50822973,0.009166227,0.35781673,0.11711063578719383,0,-0.498642,0.009587725,130.52192354931375
0,15,-0.498642,0.009587725,0.36344886,0.1262093640753097,0,-0.4886961,0.009945897,130.52192354931375
0,16,-0.4886961,0.009945897,0.3687042,0.13587230870896505,0,-0.47845843,0.010237662,130.52192354931375
0,17,-0.47845843,0.010237662,0.37354273,0.14585259378995907,0,-0.46799797,0.010460458,130.52192354931375
0,18,-0.46799797,0.010460458,0.37792748,0.15588157120007473,0,-0.4573857,0.010612274,130.52192354931375
0,19,-0.4573857,0.010612274,0.38182518,0.16567760815210342,0,-0.44669402,0.010691673,130.52192354931375
0,20,-0.44669402,0.010691673,0.38520622,0.17495538846520375,0,-0.4359962,0.0106978,130.52192354931375
0,21,-0.4359962,0.0106978,0.38804513,0.18343491690965763,0,-0.4253658,0.010630385,130.52192354931375
0,22,-0.4253658,0.010630385,0.3903206,0.19085111757233086,0,-0.41487607,0.010489737,130.52192354931375
0,23,-0.41487607,0.010489737,0.39201573,0.1969629603859051,0,-0.40459934,0.010276722,130.52192354931375
0,24,-0.40459934,0.010276722,0.39311782,0.20155919937682576,0,-0.3946066,0.00999274,130.52192354931375
0,25,-0.3946066,0.00999274,0.39361867,0.20446606869728257,0,-0.3849669,0.0096396925,130.52192354931375
0,26,-0.3849669,0.0096396925,0.393514,0.20555185264940334,0,-0.37574697,0.00921994,130.52192354931375
0,27,-0.37574697,0.00921994,0.39280373,0.2047276886902587,0,-0.3670107,0.008736261,130.52192354931375
0,28,-0.3670107,0.008736261,0.39149144,0.20195144654170072,0,-0.35881892,0.008191808,130.52192354931375
0,29,-0.35881892,0.008191808,0.38958436,0.1972258857451159,0,-0.35122886,0.0075900587,130.52192354931375
0,30,-0.35122886,0.0075900587,0.38709298,0.19059669850951444,0,-0.3442941,0.0069347736,130.52192354931375
0,31,-0.3442941,0.0069347736,0.38403103,0.182151781343185,0,-0.33806413,0.0062299557,130.52192354931375
0,32,-0.33806413,0.0062299557,0.3804148,0.17201480797285562,0,-0.33258432,0.0054798136,130.52192354931375
0,33,-0.33258432,0.0054798136,0.37626353,0.16034501089971442,0,-0.32789558,0.0046887295,130.52192354931375
0,34,-0.32789558,0.0046887295,0.37159854,0.14732974728014092,0,-0.32403433,0.003861235,130.52192354931375
0,35,-0.32403433,0.003861235,0.3664438,0.13318203499108883,0,-0.32103235,0.003001992,130.52192354931375
0,36,-0.32103235,0.003001992,0.36082533,0.11813731386996729,0,-0.31891656,0.0021157796,130.52192354931375
0,37,-0.31891656,0.0021157796,0.35477135,0.10244723705168823,0,-0.31770906,0.0012074877,130.52192354931375
0,38,-0.31770906,0.0012074877,0.3483122,0.08637762662764104,0,-0.31742695,0.00028211458,130.52192354931375
0,39,-0.31742695,0.00028211458,0.34148046,0.07020609701961433,0,-0.31808218,-0.0006552305,130.52192354931375
0,40,-0.31808218,-0.0006552305,0.33431095,0.054216587452742715,0,-0.3196815,-0.0015993231,130.52192354931375
0,41,-0.3196815,-0.0015993231,0.32684067,0.038696404502918114,0,-0.32222632,-0.0025448182,130.52192354931375
0,42,-0.32222632,-0.0025448182,0.31910917,0.023934554811887665,0,-0.32571256,-0.0034862442,130.52192354931375
0,43,-0.32571256,-0.0034862442,0.3111585,0.010215586440160962,0,-0.33013055,-0.004418,130.52192354931375
0,44,-0.33013055,-0.004418,0.30303302,-0.002184940986460049,0,-0.3354649,-0.0053343563,130.52192354931375
0,45,-0.3354649,-0.0053343563,0.29478,-0.013004150084318766,0,-0.34169436,-0.006229462,130.52192354931375
0,46,-0.34169436,-0.006229462,0.28644896,-0.021999153443310604,0,-0.34879172,-0.0070973583,130.52192354931375
0,47,-0.34879172,-0.0070973583,0.27809218,-0.028953422118638272,0,-0.35672373,-0.007932,130.52192354931375
0,48,-0.35672373,-0.007932,0.2697641,-0.033684089280187735,0,-0.365451,-0.008727289,130.52192354931375
0,49,-0.365451,-0.008727289,0.26152125,-0.03605023618632508,0,-0.37492812,-0.009477115,130.52192354931375
0,50,-0.37492812,-0.009477115,0.2534221,-0.03595932695339421,0,-0.38510352,-0.01017541,130.52192354931375
0,51,-0.38510352,-0.01017541,0.24552637,-0.0333751631082162,0,-0.39591974,-0.010816206,130.52192354931375
0,52,-0.39591974,-0.010816206,0.23789449,-0.028323477370886252,0,-0.40731347,-0.011393713,130.52192354931375
0,53,-0.40731347,-0.011393713,0.23058727,-0.02089693993540287,0,-0.41921586,-0.011902389,130.52192354931375
0,54,-0.41921586,-0.011902389,0.22366497,-0.011257418509467598,0,-0.4315529,-0.012337031,130.52192354931375
0,55,-0.4315529,-0.012337031,0.2171866,0.0003647353408648968,0,-0.44424576,-0.012692855,130.52192354931375
0,56,-0.44424576,-0.012692855,0.2112092,0.01367442838314048,0,-0.45721135,-0.012965583,130.52192354931375
0,57,-0.45721135,-0.012965583,0.20578697,0.02831747394770545,0,-0.47036287,-0.013151524,130.52192354931375
0,58,-0.47036287,-0.013151524,0.20097053,0.043891259723849885,0,-0.4836105,-0.013247642,130.52192354931375
