episode_id,step,obs_0,obs_1,action,reward,done,next_obs_0,next_obs_1,return
0,1,-0.5461736,0.0,2,-1.0,0,-0.54500437,0.0011691815,-222.0
0,2,-0.54500437,0.0011691815,0,-1.0,0,-0.54467475,0.00032961322,-222.0
0,3,-0.54467475,0.00032961322,0,-1.0,0,-0.5451872,-0.0005124222,-222.0
0,4,-0.5451872,-0.0005124222,0,-1.0,0,-0.5465378,-0.0013506223,-222.0
0,5,-0.5465378,-0.0013506223,2,-1.0,0,-0.5467165,-0.00017871521,-222.0
0,6,-0.5467165,-0.00017871521,0,-1.0,0,-0.547722,-0.001005471,-222.0
0,7,-0.547722,-0.001005471,0,-1.0,0,-0.5495467,-0.0018247048,-222.0
0,8,-0.5495467,-0.0018247048,2,-1.0,0,-0.550177,-0.0006302918,-222.0
0,9,-0.550177,-0.0006302918,0,-1.0,0,-0.55160815,-0.0014311663,-222.0
0,10,-0.55160815,-0.0014311663,0,-1.0,0,-0.5538295,-0.002221343,-222.0
0,11,-0.5538295,-0.002221343,0,-1.0,0,-0.55682445,-0.0029949234,-222.0
0,12,-0.55682445,-0.0029949234,0,-1.0,0,-0.5605706,-0.0037461433,-222.0
0,13,-0.5605706,-0.0037461433,2,-1.0,0,-0.56304,-0.002469423,-222.0
0,14,-0.56304,-0.002469423,2,-1.0,0,-0.5642143,-0.0011743037,-222.0
0,15,-0.5642143,-0.0011743037,0,-1.0,0,-0.56608474,-0.0018704404,-222.0
0,16,-0.56608474,-0.0018704404,0,-1.0,0,-0.5686374,-0.0025526579,-222.0
0,17,-0.5686374,-0.0025526579,0,-1.0,0,-0.5718533,-0.003215895,-222.0
0,18,-0.5718533,-0.003215895,0,-1.0,0,-0.57570857,-0.003855249,-222.0
0,19,-0.57570857,-0.003855249,2,-1.0,0,-0.57817453,-0.0024660155,-222.0
0,20,-0.57817453,-0.0024660155,0,-1.0,0,-0.5812331,-0.0030585236,-222.0
0,21,-0.5812331,-0.0030585236,0,-1.0,0,-0.5848615,-0.003628417,-222.0
0,22,-0.5848615,-0.003628417,1,-1.0,0,-0.588033,-0.0031715287,-222.0
0,23,-0.588033,-0.0031715287,0,-1.0,0,-0.5917243,-0.0036912758,-222.0
0,24,-0.5917243,-0.0036912758,0,-1.0,0,-0.59590816,-0.004183884,-222.0
