episode_id,step,obs_0,obs_1,action,reward,done,next_obs_0,next_obs_1,return
0,1,-0.45453048,0.0,2,-1.0,0,-0.4540448,0.00048568647,-247.0
0,2,-0.4540448,0.00048568647,2,-1.0,0,-0.45307696,0.0009678087,-247.0
0,3,-0.45307696,0.0009678087,2,-1.0,0,-0.45163414,0.001442832,-247.0
0,4,-0.45163414,0.001442832,2,-1.0,0,-0.44972685,0.0019072804,-247.0
0,5,-0.44972685,0.0019072804,2,-1.0,0,-0.4473691,0.002357765,-247.0
0,6,-0.4473691,0.002357765,1,-1.0,0,-0.44557807,0.0017910128,-247.0
0,7,-0.44557807,0.0017910128,2,-1.0,0,-0.4433669,0.002211186,-247.0
0,8,-0.4433669,0.002211186,2,-1.0,0,-0.44075164,0.0026152404,-247.0
0,9,-0.44075164,0.0026152404,2,-1.0,0,-0.43775138,0.0030002643,-247.0
0,10,-0.43775138,0.0030002643,2,-1.0,0,-0.4343879,0.003363503,-247.0
0,11,-0.4343879,0.003363503,1,-1.0,0,-0.4316855,0.0027023803,-247.0
0,12,-0.4316855,0.0027023803,2,-1.0,0,-0.4286638,0.0030217331,-247.0
0,13,-0.4286638,0.0030217331,0,-1.0,0,-0.42734447,0.0013193073,-247.0
0,14,-0.42734447,0.0013193073,0,-1.0,0,-0.4277371,-0.00039260922,-247.0
0,15,-0.4277371,-0.00039260922,2,-1.0,0,-0.42783877,-0.00010170251,-247.0
0,16,-0.42783877,-0.00010170251,2,-1.0,0,-0.42764884,0.00018993566,-247.0
0,17,-0.42764884,0.00018993566,1,-1.0,0,-0.42816862,-0.0005197922,-247.0
0,18,-0.42816862,-0.0005197922,2,-1.0,0,-0.4283944,-0.00022578116,-247.0
0,19,-0.4283944,-0.00022578116,2,-1.0,0,-0.42832455,6.98545e-05,-247.0
0,20,-0.42832455,6.98545e-05,0,-1.0,0,-0.42995957,-0.0016350126,-247.0
0,21,-0.42995957,-0.0016350126,1,-1.0,0,-0.4322877,-0.002328106,-247.0
0,22,-0.4322877,-0.002328106,1,-1.0,0,-0.4352921,-0.0030044063,-247.0
0,23,-0.4352921,-0.0030044063,2,-1.0,0,-0.4379511,-0.0026589867,-247.0
0,24,-0.4379511,-0.0026589867,1,-1.0,0,-0.44124538,-0.0032942996,-247.0
0,25,-0.44124538,-0.0032942996,2,-1.0,0,-0.44415107,-0.002905686,-247.0
0,26,-0.44415107,-0.002905686,2,-1.0,0,-0.446647,-0.0024959182,-247.0
0,27,-0.446647,-0.0024959182,2,-1.0,0,-0.4487149,-0.002067944,-247.0
0,28,-0.4487149,-0.002067944,2,-1.0,0,-0.4503398,-0.0016248607,-247.0
0,29,-0.4503398,-0.0016248607,2,-1.0,0,-0.45150968,-0.0011698906,-247.0
0,30,-0.45150968,-0.0011698906,2,-1.0,0,-0.45221603,-0.0007063541,-247.0
0,31,-0.45221603,-0.0007063541,2,-1.0,0,-0.45245367,-0.0002376421,-247.0
0,32,-0.45245367,-0.0002376421,0,-1.0,0,-0.45422086,-0.0017671883,-247.0
0,33,-0.45422086,-0.0017671883,1,-1.0,0,-0.45650464,-0.002283774,-247.0
0,34,-0.45650464,-0.002283774,2,-1.0,0,-0.45828822,-0.0017835891,-247.0
