episode_id,step,obs_0,obs_1,obs_2,obs_3,action,reward,done,next_obs_0,next_obs_1,next_obs_2,next_obs_3,return
0,1,-0.04608421,0.043179378,0.047164645,-0.049378973,1,1.0,0,-0.04522062,0.23759441,0.046177067,-0.32681596,203.0
0,2,-0.04522062,0.23759441,0.046177067,-0.32681596,1,1.0,0,-0.040468734,0.43202955,0.039640747,-0.60458654,203.0
0,3,-0.040468734,0.43202955,0.039640747,-0.60458654,1,1.0,0,-0.031828143,0.62657535,0.027549015,-0.8845247,203.0
0,4,-0.031828143,0.62657535,0.027549015,-0.8845247,0,1.0,0,-0.019296635,0.4310904,0.009858522,-0.5833101,203.0
0,5,-0.019296635,0.4310904,0.009858522,-0.5833101,0,1.0,0,-0.010674827,0.23583174,-0.0018076809,-0.287538,203.0
0,6,-0.010674827,0.23583174,-0.0018076809,-0.287538,0,1.0,0,-0.005958192,0.040735614,-0.007558441,0.0045742565,203.0
0,7,-0.005958192,0.040735614,-0.007558441,0.0045742565,1,1.0,0,-0.00514348,0.23596515,-0.0074669556,-0.29048383,203.0
0,8,-0.00514348,0.23596515,-0.0074669556,-0.29048383,0,1.0,0,-0.0004241771,0.040950455,-0.013276632,-0.00016522213,203.0
0,9,-0.0004241771,0.040950455,-0.013276632,-0.00016522213,1,1.0,0,0.00039483202,0.23626027,-0.013279937,-0.29700735,203.0
0,10,0.00039483202,0.23626027,-0.013279937,-0.29700735,1,1.0,0,0.0051200376,0.43156898,-0.019220084,-0.59384876,203.0
0,11,0.0051200376,0.43156898,-0.019220084,-0.59384876,0,1.0,0,0.013751417,0.23672128,-0.03109706,-0.30728152,203.0
0,12,0.013751417,0.23672128,-0.03109706,-0.30728152,0,1.0,0,0.018485842,0.042055916,-0.03724269,-0.024565734,203.0
0,13,0.018485842,0.042055916,-0.03724269,-0.024565734,1,1.0,0,0.01932696,0.23769163,-0.037734006,-0.32876262,203.0
0,14,0.01932696,0.23769163,-0.037734006,-0.32876262,1,1.0,0,0.024080792,0.43332988,-0.04430926,-0.63310224,203.0
0,15,0.024080792,0.43332988,-0.04430926,-0.63310224,1,1.0,0,0.03274739,0.629041,-0.0569713,-0.93940353,203.0
0,16,0.03274739,0.629041,-0.0569713,-0.93940353,1,1.0,0,0.04532821,0.8248828,-0.07575937,-1.2494301,203.0
0,17,0.04532821,0.8248828,-0.07575937,-1.2494301,0,1.0,0,0.061825868,0.63080925,-0.10074797,-0.98140675,203.0
0,18,0.061825868,0.63080925,-0.10074797,-0.98140675,0,1.0,0,0.07444205,0.43717125,-0.12037611,-0.7219924,203.0
0,19,0.07444205,0.43717125,-0.12037611,-0.7219924,0,1.0,0,0.08318548,0.24390188,-0.13481596,-0.4694914,203.0
0,20,0.08318548,0.24390188,-0.13481596,-0.4694914,0,1.0,0,0.088063516,0.050916247,-0.14420578,-0.22215557,203.0
0,21,0.088063516,0.050916247,-0.14420578,-0.22215557,0,1.0,0,0.08908184,-0.14188172,-0.14864889,0.021789903,203.0
0,22,0.08908184,-0.14188172,-0.14864889,0.021789903,0,1.0,0,0.0862442,-0.33459386,-0.1482131,0.2641283,203.0
0,23,0.0862442,-0.33459386,-0.1482131,0.2641283,0,1.0,0,0.07955233,-0.5273237,-0.14293054,0.50663835,203.0
0,24,0.07955233,-0.5273237,-0.14293054,0.50663835,0,1.0,0,0.069005854,-0.720173,-0.13279776,0.75108385,203.0
0,25,0.069005854,-0.720173,-0.13279776,0.75108385,1,1.0,0,0.054602392,-0.52349406,-0.11777609,0.419735,203.0
0,26,0.054602392,-0.52349406,-0.11777609,0.419735,1,1.0,0,0.044132512,-0.32691738,-0.109381385,0.09236656,203.0
0,27,0.044132512,-0.32691738,-0.109381385,0.09236656,1,1.0,0,0.037594162,-0.13041148,-0.10753406,-0.23272482,203.0
0,28,0.037594162,-0.13041148,-0.10753406,-0.23272482,0,1.0,0,0.034985933,-0.32384574,-0.112188555,0.02419647,203.0
0,29,0.034985933,-0.32384574,-0.112188555,0.02419647,0,1.0,0,0.028509019,-0.5171949,-0.111704625,0.27948275,203.0
0,30,0.028509019,-0.5171949,-0.111704625,0.27948275,1,1.0,0,0.01816512,-0.32067147,-0.10611497,-0.04623813,203.0
0,31,0.01816512,-0.32067147,-0.10611497,-0.04623813,0,1.0,0,0.011751691,-0.5141244,-0.10703973,0.21116975,203.0
0,32,0.011751691,-0.5141244,-0.10703973,0.21116975,0,1.0,0,0.0014692033,-0.707566,-0.102816336,0.4682619,203.0
0,33,0.0014692033,-0.707566,-0.102816336,0.4682619,0,1.0,0,-0.0126821175,-0.9010966,-0.0934511,0.72685,203.0
0,34,-0.0126821175,-0.9010966,-0.0934511,0.72685,1,1.0,0,-0.03070405,-0.7048154,-0.0789141,0.40627813,203.0
0,35,-0.03070405,-0.7048154,-0.0789141,0.40627813,1,1.0,0,-0.044800356,-0.50866824,-0.07078853,0.08979643,203.0
0,36,-0.044800356,-0.50866824,-0.07078853,0.08979643,1,1.0,0,-0.05497372,-0.3126068,-0.06899261,-0.22435366,203.0
0,37,-0.05497372,-0.3126068,-0.06899261,-0.22435366,1,1.0,0,-0.061225858,-0.11657009,-0.07347968,-0.5379769,203.0
0,38,-0.061225858,-0.11657009,-0.07347968,-0.5379769,0,1.0,0,-0.06355726,-0.31058624,-0.084239215,-0.26932156,203.0
0,39,-0.06355726,-0.31058624,-0.084239215,-0.26932156,0,1.0,0,-0.06976899,-0.50441134,-0.08962565,-0.0043519335,203.0
