episode_id,step,action,reward,done,next_obs_0,next_obs_1,return
0,1,0,-1.0,0,-0.50947446,-0.0011142495,-155.0
0,2,0,-1.0,0,-0.5116946,-0.0022201503,-155.0
0,3,0,-1.0,0,-0.51500404,-0.0033094126,-155.0
0,4,0,-1.0,0,-0.5193779,-0.004373866,-155.0
0,5,0,-1.0,0,-0.52478343,-0.005405522,-155.0
0,6,0,-1.0,0,-0.53118,-0.0063966373,-155.0
0,7,0,-1.0,0,-0.5385198,-0.0073397825,-155.0
0,8,0,-1.0,0,-0.54674774,-0.008227912,-155.0
0,9,0,-1.0,0,-0.55580217,-0.0090544345,-155.0
0,10,0,-1.0,0,-0.5656155,-0.0098132845,-155.0
0,11,0,-1.0,0,-0.5761145,-0.010498993,-155.0
0,12,0,-1.0,0,-0.5872212,-0.011106753,-155.0
0,13,0,-1.0,0,-0.5988537,-0.011632477,-155.0
0,14,0,-1.0,0,-0.6109265,-0.012072847,-155.0
0,15,0,-1.0,0,-0.6233519,-0.012425356,-155.0
0,16,0,-1.0,0,-0.6360402,-0.012688325,-155.0
0,17,0,-1.0,0,-0.6489011,-0.012860917,-155.0
0,18,0,-1.0,0,-0.66184425,-0.012943125,-155.0
0,19,0,-1.0,0,-0.67478,-0.012935754,-155.0
0,20,0,-1.0,0,-0.68762034,-0.01284037,-155.0
0,21,0,-1.0,0,-0.7002796,-0.012659253,-155.0
0,22,0,-1.0,0,-0.712675,-0.012395327,-155.0
0,23,0,-1.0,0,-0.72472703,-0.012052086,-155.0
0,24,0,-1.0,0,-0.73636055,-0.011633504,-155.0
0,25,0,-1.0,0,-0.7475045,-0.011143955,-155.0
0,26,0,-1.0,0,-0.75809264,-0.010588128,-155.0
0,27,0,-1.0,0,-0.76806355,-0.009970937,-155.0
0,28,0,-1.0,0,-0.77736104,-0.009297449,-155.0
0,29,0,-1.0,0,-0.78593385,-0.008572815,-155.0
0,30,1,-1.0,0,-0.79273605,-0.0068022097,-155.0
0,31,2,-1.0,0,-0.796732,-0.003995959,-155.0
0,32,0,-1.0,0,-0.7999011,-0.0031691187,-155.0
0,33,0,-1.0,0,-0.80222726,-0.0023261355,-155.0
0,34,0,-1.0,0,-0.80369866,-0.0014714092,-155.0
0,35,0,-1.0,0,-0.80430794,-0.0006093015,-155.0
0,36,0,-1.0,0,-0.8040521,0.0002558522,-155.0
0,37,0,-1.0,0,-0.8029324,0.0011197276,-155.0
0,38,2,-1.0,0,-0.79895437,0.003977996,-155.0
0,39,0,-1.0,0,-0.7941382,0.004816174,-155.0
0,40,0,-1.0,0,-0.78850853,0.005629679,-155.0
0,41,0,-1.0,0,-0.78209466,0.006413864,-155.0
0,42,2,-1.0,0,-0.7729306,0.009164025,-155.0
0,43,0,-1.0,0,-0.7630662,0.009864452,-155.0
0,44,0,-1.0,0,-0.75255626,0.010509908,-155.0
0,45,0,-1.0,0,-0.74146104,0.011095214,-155.0
0,46,2,-1.0,0,-0.7278457,0.013615308,-155.0
0,47,2,-1.0,0,-0.71179265,0.016053088,-155.0
0,48,2,-1.0,0,-0.69340193,0.018390745,-155.0
0,49,0,-1.0,0,-0.67479205,0.018609898,-155.0
0,50,0,-1.0,0,-0.6560867,0.018705364,-155.0
0,51,2,-1.0,0,-0.6354136,0.020673066,-155.0
0,52,0,-1.0,0,-0.6149176,0.020496039,-155.0
0,53,0,-1.0,0,-0.59474516,0.020172395,-155.0
0,54,2,-1.0,0,-0.5730432,0.02170195,-155.0
0,55,0,-1.0,0,-0.5519718,0.021071425,-155.0
