episode_id,step,action,reward,done,next_obs_0,next_obs_1,next_obs_2,next_obs_3,return
0,1,1,1.0,0,-0.045515615,0.17953195,0.011013368,-0.28844318,228.0
0,2,0,1.0,0,-0.041924976,-0.015745306,0.005244504,0.007692815,228.0
0,3,0,1.0,0,-0.042239882,-0.21094207,0.0053983605,0.30202582,228.0
0,4,1,1.0,0,-0.04645872,-0.01589748,0.011438877,0.011050299,228.0
0,5,1,1.0,0,-0.04677667,0.17905857,0.011659883,-0.2780017,228.0
0,6,0,1.0,0,-0.0431955,-0.016227765,0.006099849,0.018335829,228.0
0,7,0,1.0,0,-0.043520056,-0.21143666,0.0064665657,0.31293708,228.0
0,8,1,1.0,0,-0.04774879,-0.016407426,0.012725308,0.022300493,228.0
0,9,1,1.0,0,-0.04807694,0.17852974,0.013171317,-0.26634043,228.0
0,10,0,1.0,0,-0.04450634,-0.016777692,0.007844508,0.03046755,228.0
0,11,1,1.0,0,-0.044841897,0.1782309,0.008453859,-0.25973007,228.0
0,12,0,1.0,0,-0.04127728,-0.017010719,0.0032592579,0.03560729,228.0
0,13,1,1.0,0,-0.041617494,0.17806435,0.0039714035,-0.25604552,228.0
0,14,1,1.0,0,-0.038056206,0.37312937,-0.0011495069,-0.5474732,228.0
0,15,0,1.0,0,-0.030593619,0.17802359,-0.01209897,-0.25515264,228.0
0,16,0,1.0,0,-0.027033146,-0.016923547,-0.017202023,0.03368964,228.0
0,17,0,1.0,0,-0.027371619,-0.21179464,-0.01652823,0.3208959,228.0
0,18,1,1.0,0,-0.031607512,-0.016441263,-0.010110312,0.02304677,228.0
0,19,0,1.0,0,-0.031936336,-0.21141678,-0.009649377,0.3125227,228.0
0,20,1,1.0,0,-0.03616467,-0.016158694,-0.0033989227,0.016812352,228.0
0,21,1,1.0,0,-0.036487848,0.17901184,-0.0030626757,-0.27694103,228.0
0,22,0,1.0,0,-0.03290761,-0.016066289,-0.008601496,0.014774353,228.0
0,23,1,1.0,0,-0.033228934,0.17917795,-0.00830601,-0.28061,228.0
0,24,0,1.0,0,-0.029645376,-0.015824534,-0.013918209,0.009441718,228.0
0,25,0,1.0,0,-0.029961867,-0.21074414,-0.013729375,0.297701,228.0
0,26,0,1.0,0,-0.03417675,-0.40566772,-0.007775355,0.5860225,228.0
0,27,1,1.0,0,-0.042290103,-0.21043773,0.003945095,0.29090044,228.0
0,28,1,1.0,0,-0.046498857,-0.015372252,0.009763103,-0.00053565716,228.0
0,29,0,1.0,0,-0.046806302,-0.21063285,0.00975239,0.29521158,228.0
0,30,1,1.0,0,-0.05101896,-0.01565128,0.015656622,0.0056203,228.0
0,31,1,1.0,0,-0.051331986,0.17924267,0.015769027,-0.28208193,228.0
