episode_id,step,action,reward,done,next_obs_0,next_obs_1,next_obs_2,next_obs_3,return
0,1,0,1.0,0,-0.016544236,-0.16234605,-0.032786213,0.28156778,364.0
0,2,1,1.0,0,-0.019791156,0.033227857,-0.027154857,-0.02127285,364.0
0,3,0,1.0,0,-0.0191266,-0.16149436,-0.027580313,0.26272023,364.0
0,4,1,1.0,0,-0.022356486,0.0340102,-0.022325909,-0.038532656,364.0
0,5,0,1.0,0,-0.021676283,-0.1607846,-0.023096561,0.24702346,364.0
0,6,1,1.0,0,-0.024891974,0.03465947,-0.018156093,-0.052854244,364.0
0,7,1,1.0,0,-0.024198785,0.23003699,-0.019213177,-0.35120982,364.0
0,8,0,1.0,0,-0.019598046,0.035193466,-0.026237374,-0.064646795,364.0
0,9,0,1.0,0,-0.018894177,-0.15954268,-0.02753031,0.21964398,364.0
0,10,1,1.0,0,-0.02208503,0.035961766,-0.023137432,-0.08159445,364.0
0,11,0,1.0,0,-0.021365795,-0.158821,-0.02476932,0.2036997,364.0
0,12,1,1.0,0,-0.024542214,0.036646258,-0.020695325,-0.09669269,364.0
0,13,0,1.0,0,-0.02380929,-0.15817307,-0.022629179,0.18938972,364.0
0,14,0,1.0,0,-0.02697275,-0.35296407,-0.018841386,0.47484905,364.0
0,15,1,1.0,0,-0.034032032,-0.1575812,-0.009344405,0.1762877,364.0
0,16,1,1.0,0,-0.037183657,0.037673224,-0.0058186506,-0.11932837,364.0
0,17,0,1.0,0,-0.03643019,-0.15736488,-0.008205218,0.17151316,364.0
0,18,1,1.0,0,-0.039577488,0.037873544,-0.004774955,-0.12374693,364.0
0,19,0,1.0,0,-0.038820017,-0.15717967,-0.0072498936,0.16742574,364.0
0,20,0,1.0,0,-0.04196361,-0.3521971,-0.0039013792,0.45781273,364.0
0,21,1,1.0,0,-0.049007554,-0.15702021,0.0052548754,0.16390263,364.0
0,22,1,1.0,0,-0.05214796,0.038026117,0.008532928,-0.1271179,364.0
